order_id,order_number,order_item_id,item_name,quantity,invoiced_quantity,mrp,price_per_unit,amount,discount_amount,profit
104592,SO/24-25/85358,202967,Anannya Rice,2,2,1732,1534,3464,396,-208
74112,SO/24-25/55656,148560,Ambey Patent Maida,1,1,1899,1760,1899,139,-10
105873,SO/24-25/86555,205222,Arhar Dal,10,0,173.567,127,1735.67,465.67,-377
112302,SO/24-25/92717,216104,Kezar Maida,5,5,1760,1652,8800,540,-140
74308,SO/24-25/55887,148902,Normal Sugar,1,1,2190,2110,2190,80,40
83411,SO/24-25/64862,165258,Normal Sugar,1,1,2200,2045,2200,155,-35
70649,SO/24-25/52293,141931,Normal Sugar,20,20,2240,2090,44800,3000,-400
70649,SO/24-25/52293,141930,Prakash Aata,15,10,1690,1565,25350,1875,-75
112302,SO/24-25/92717,216105,Prakash Maida,1,1,1790,1670,1790,120,-60
84593,SO/24-25/66025,167380,Matar,10,10,52.008,47,520.08,50.08,-6.75
99961,SO/24-25/80984,194983,Normal Sugar,2,2,2200,2040,4400,320,-30
73985,SO/24-25/55577,148357,DCM Double Filter Sugar,5,5,2250,2140,11250,550,-125
73985,SO/24-25/55577,148358,Tata Salt Pkt(1Kg),5,5,1220,1175,6100,225,-125
70261,SO/24-25/51839,141242,Normal Sugar,10,10,2240,2095,22400,1450,-150
89406,SO/24-25/70790,176034,Prakash Aata,5,5,1740,1570,8700,850,-400
70149,SO/24-25/52013,141011,Tata Salt Pkt(1Kg),3,3,786,720,2358,198,-162
70255,SO/24-25/51825,141234,Adani Patla Besan,1,1,119.65,108,119.65,11.65,-4.65
70255,SO/24-25/51825,141233,Ashok Kali Mirch Powder (50 Gm),1,0,75,60,75,15,0
112311,SO/24-25/92718,216117,Kezar Aata,1,1,1650,1560,1650,90,-20
83211,SO/24-25/64648,164881,SODA CHINI (1KG) सोडा,1,1,57,55,57,2,0
74039,SO/24-25/55575,148428,Soyum Soya Pouch,5,5,1570,1464,7850,530,-95
124728,SO/24-25/104315,236979,Sunny Maida,3,3,1910,1760,5730,450,0
74887,SO/24-25/56444,149886,Rice MV Gold,3,2,1400,1340,4200,180,-36
71245,SO/24-25/52810,143276,Shreshtha Aata,10,10,1710,1550,17100,1600,-200
83211,SO/24-25/64648,164882,Prakash Maida,1,1,39.239,37,39.24,2.24,-0.2
88128,SO/24-25/69541,173645,Nourish Sunflower Pouch,1,1,1470,1350,1470,120,-50
74039,SO/24-25/55575,148429,Bail Kolhu Pouch,5,5,1650,1505,8250,725,-250
88128,SO/24-25/69541,173646,Prakash Aata,3,3,1693,1545,5079,444,-165
70566,SO/24-25/52140,141769,DCM Double Filter Sugar,1,1,2300,2160,2300,140,0
74105,SO/24-25/55647,148547,Arrarot,1,1,49,48,49,1,0
126236,SO/24-25/105715,239620,Swastik maida,1,1,1890,1750,1890,140,-5
74105,SO/24-25/55647,148548,Fortune Soya Pouch(1L),1,1,144.75,139,144.75,5.75,-1.38
112330,SO/24-25/92719,216149,Steam Rice,2,2,55,50,110,10,-4
124728,SO/24-25/104315,236980,Swastik Suji Rava,1,1,1900,1780,1900,120,0
74105,SO/24-25/55647,148549,Ruchi Gold Palm Pouch(1L),1,1,138.05,125,138.05,13.05,-7.05
93309,SO/24-25/74594,183179,Medium Chhola,5,5,136,136,680,0,49.25
74105,SO/24-25/55647,148550,Laal Mirch Sabut,2,2,71.219,71,142.44,0.44,-0.44
78699,SO/24-25/60158,156650,Ganesh Maida,1,1,1760,1630,1760,130,0
74105,SO/24-25/55647,148551,Prakash Maida,15,15,37.667,35,565.01,40.01,-8.75
98713,SO/24-25/79853,192775,Ruchi Gold Palm Pouch(1L),10,10,1285,1280,12850,50,0
75378,SO/24-25/56884,150714,Shreshtha Aata,1,1,1710,1590,1710,120,0
112330,SO/24-25/92719,216146,Kezar Aata,5,5,36.438,34,182.19,12.19,-4.9
89331,SO/24-25/70715,175878,Normal Sugar,2,2,2200,2020,4400,360,-90
89331,SO/24-25/70715,175879,Rice MV Gold,1,1,1352,1131,1352,221,-169
93309,SO/24-25/74594,183180,Shri Ram maida (50kg),10,10,39.4,37,394,24,12
112330,SO/24-25/92719,216147,Kezar Maida,2,2,38.769,36,77.54,5.54,-2.2
124712,SO/24-25/104294,236946,Prakash Aata,10,10,39.5,36,395,35,-1.67
78700,SO/24-25/60159,156651,Ruchi Gold Palm Pouch(1L),20,20,1380,1272,27600,2160,-160
124712,SO/24-25/104294,236947,Tata Salt Pkt(1Kg),5,5,30,27,150,15,-5
78700,SO/24-25/60159,156652,Rajdhani Chakki aata,1,1,1960,1840,1960,120,0
78700,SO/24-25/60159,156653,Rajdhani Maida,1,1,2080,1935,2080,145,-10
78652,SO/24-25/60115,156555,Pani (500 Ml),10,10,200,115,2000,850,-50
71246,SO/24-25/52809,143279,Ganesh Maida,5,5,1760,1610,8800,750,-200
104464,SO/24-25/85235,202737,Pukhraj Arhar Dal,5,5,175.217,145,876.09,151.09,-107.75
83224,SO/24-25/64660,164906,Prakash Aata,12,12,1693,1555,20316,1656,-420
98693,SO/24-25/79792,192736,Medium Chhola,5,5,135,135,675,0,0
98693,SO/24-25/79792,192737,Parivar Pasand Chakki Aata (50kg),30,30,38,35,1140,90,6
98693,SO/24-25/79792,192738,Shri Ram maida (50kg),10,10,40.4,37,404,34,6
70568,SO/24-25/52149,141771,Ganesh Maida,1,1,1760,1620,1760,140,-30
84616,SO/24-25/66050,167430,Shreshtha Aata,15,15,1710,1538,25650,2580,-1080
89349,SO/24-25/70709,175906,Prakash Aata,1,1,1693,1560,1693,133,-10
83225,SO/24-25/64659,164907,Soyum Soya (15Lit),1,1,2170,2020,2170,150,-30
83225,SO/24-25/64659,164908,Prakash Maida,1,1,1768,1670,1768,98,0
98726,SO/24-25/79847,192792,Laal Gulaab Maida,2,2,1780,1625,3560,310,-130
78745,SO/24-25/60327,156729,SAPNA GOLD MAIDA,1,1,2000,1790,2000,210,-10
71247,SO/24-25/52812,143280,Prakash Aata,1,1,1730,1600,1730,130,-20
104464,SO/24-25/85235,202738,Chana Dal,5,5,110,92,550,90,-55
83225,SO/24-25/64659,164909,Adani Mota Besan,1,1,3700,3410,3700,290,-90
84528,SO/24-25/65966,167262,Matar,1,1,1450,1320,1450,130,0
83226,SO/24-25/64658,164910,Fryola Palm,10,10,2487,2290,24870,1970,-500
104464,SO/24-25/85235,202739,Kaali Masoor Dal,2,2,73,73,146,0,2
74646,SO/24-25/56173,149491,Tata Salt Pkt(1Kg),1,1,1180,1180,1180,0,0
83227,SO/24-25/64661,164911,Prakash Aata,2,2,1693,1570,3386,246,-60
83345,SO/24-25/64776,165122,Aashirwad Chakki Atta (10kg),1,1,1370,1270,1370,100,-8
117672,SO/24-25/97698,225067,Safal Atta,1,1,1800,1710,1800,90,0
117755,SO/24-25/97745,225197,Nature Fresh Soya Tin(15Kg),5,5,2422,2260,12110,810,25
84500,SO/24-25/65974,167210,Hum Tum Rice,1,1,1440,1440,1440,0,60
131973,SO/24-25/111171,249616,Prakash Maida,1,1,1730,1650,1730,80,-80
74232,SO/24-25/55772,148768,Fortune Soya Tin(15L),3,3,2200,2020,6600,540,-90
88222,SO/24-25/69630,173834,Ruchi Gold Palm Pouch(1L),30,30,1435,1295,43050,4200,-360
126247,SO/24-25/105718,239635,Deepak Aata,18,18,36.4,34.4,655.2,36,-36
83338,SO/24-25/64773,165111,Ambey Chakki Aata,1,1,1790,1700,1790,90,0
83338,SO/24-25/64773,165112,Ambey Patent Maida,1,1,1919,1800,1919,119,0
124707,SO/24-25/104293,236937,Soyum Soya (15Lit),3,3,2180,1990,6540,570,-30
124631,SO/24-25/104277,236795,Normal Sugar,3,3,2440,2200,7320,720,-120
105879,SO/24-25/86562,205234,Gauri Old Rice,1,1,3510,3195,3510,315,0
83336,SO/24-25/64768,165109,Rath Vanaspati Ghee Tin(15Kg),10,10,2689,2490,26890,1990,100
88222,SO/24-25/69630,173835,Aashirwad Chakki Atta (10kg),3,3,1390,1274,4170,348,-12
75370,SO/24-25/56876,150699,Prakash Maida,1,1,1760,1640,1760,120,-20
71291,SO/24-25/52857,143364,Prakash Aata,1,1,1690,1575,1690,115,-5
88203,SO/24-25/69609,173804,Rath Vanaspati Ghee Tin(15Kg),9,9,2719,2470,24471,2241,45
79229,SO/24-25/60660,157621,Shreshtha Aata,1,1,1710,1600,1710,110,-10
70277,SO/24-25/51848,141269,Ruchi Gold Palm Pouch(1L),13,13,1319,1197,17147,1586,-78
83232,SO/24-25/64665,164921,DCM Double Filter Sugar,1,1,2255,2130,2255,125,0
74003,SO/24-25/55573,148382,DCM Double Filter Sugar,1,1,2250,2150,2250,100,-20
131975,SO/24-25/111166,249618,Normal Sugar,2,2,2400,2190,4800,420,-80
71291,SO/24-25/52857,143365,Normal Sugar,1,1,2240,2105,2240,135,-15
105876,SO/24-25/86561,205228,Gauri Rice,1,1,3180,2910,3180,270,0
70279,SO/24-25/51851,141271,Ruchi Gold Palm Pouch(1L),1,1,1319,1205,1319,114,-3
88234,SO/24-25/69681,173862,SAPNA GOLD MAIDA,10,10,2000,1760,20000,2400,-550
84608,SO/24-25/66042,167416,Shreshtha Aata,5,5,1710,1565,8550,725,-225
124631,SO/24-25/104277,236796,Tata Salt Pkt(1Kg),1,1,1400,1280,1400,120,-15
74123,SO/24-25/55669,148575,Bail Kolhu Pouch,2,2,1650,1570,3300,160,20
83229,SO/24-25/64668,164916,Ruchi Gold Palm Pouch(1L),10,10,1368,1265,13680,1030,-50
83407,SO/24-25/64828,165243,Tata Salt Pkt(1Kg),1,1,1360,1265,1360,95,0
83407,SO/24-25/64828,165244,Ruchi Gold Palm Pouch(1L),10,10,1368,1265,13680,1030,-50
70576,SO/24-25/52150,141784,Normal Sugar,1,1,2460,2090,2460,370,-10
93272,SO/24-25/74600,183107,Nepali Soya,4,4,2250,2070,9000,720,-240
124610,SO/24-25/104276,236760,Fortune Soya Pouch(1L),3,3,2650,2420,7950,690,60
70288,SO/24-25/51863,141281,Ruchi Gold Palm Pouch(1L),10,10,1319,1195,13190,1240,-80
70285,SO/24-25/51861,141278,Prakash Aata,1,1,1690,1570,1690,120,-10
110938,SO/24-25/91420,213706,Prakash Aata,1,1,1730,1590,1730,140,-20
70284,SO/24-25/51862,141277,Arrarot,1,1,2340,2120,2340,220,-80
78706,SO/24-25/60170,156662,Soyum Soya Tin(15L) V,200,200,2160,1965,432000,39000,-7000
70275,SO/24-25/51847,141267,Soyum Soya Pouch,10,10,1560,1440,15600,1200,-310
83236,SO/24-25/64669,164926,Prakash Aata,2,2,1693,1560,3386,266,-80
98750,SO/24-25/79842,192840,Double Filter Sugar,2,2,2150,2150,4300,0,10
70574,SO/24-25/52151,141778,Double Chabhi Rice,2,2,3299,3000,6598,598,-60
124610,SO/24-25/104276,236761,Fortune Soya Jar (5L),4,4,1000,830,4000,680,-120
117723,SO/24-25/97727,225146,Patent Maida,2,2,1750,1720,3500,60,-20
70283,SO/24-25/51859,141275,Bawarchi Vanaspati Pouch,2,2,2280,2110,4560,340,-40
70283,SO/24-25/51859,141276,Normal Sugar,2,2,2460,2090,4920,740,-20
74128,SO/24-25/55668,148585,Soyum Soya (15Lit),1,1,2030,1870,2030,160,-50
117707,SO/24-25/97718,225123,Sunny Maida,1,1,1750,1720,1750,30,50
93303,SO/24-25/74596,183165,Medium Chhola,5,5,136,136,680,0,49.25
78704,SO/24-25/60168,156659,Prakash Maida,1,1,1790,1680,1790,110,-10
88247,SO/24-25/69680,173878,SAPNA GOLD AATA,1,1,1900,1770,1900,130,-10
110938,SO/24-25/91420,213707,Laal Gulaab Suji/Rava,3,3,40,40,120,0,4.56
75352,SO/24-25/56854,150672,Prakash Maida,4,4,1745,1645,6980,400,-20
70271,SO/24-25/51849,141262,Maharaja Chakki Aata,1,1,1610,1540,1610,70,-10
75371,SO/24-25/56874,150701,Prakash Aata,1,1,1690,1585,1690,105,-10
74119,SO/24-25/55673,148571,DCM Double Filter Sugar,1,1,2250,2140,2250,110,-30
70274,SO/24-25/51860,141266,Normal Sugar,16,16,2460,2087,39360,5968,-208
70278,SO/24-25/51856,141270,Ganesh Maida,1,1,1760,1615,1760,145,-35
88247,SO/24-25/69680,173879,Parinda Rice,1,1,1750,1620,1750,130,-30
70573,SO/24-25/52152,141777,Aashirwad Chakki Atta (10kg),4,4,1340,1248,5360,368,-24
74120,SO/24-25/55672,148572,DCM Double Filter Sugar,1,1,2250,2140,2250,110,-30
78701,SO/24-25/60160,156654,Soyum Soya Tin(15L) V,200,200,2160,1970,432000,38000,-6000
74121,SO/24-25/55671,148573,Prakash Maida,2,2,1745,1640,3490,210,-20
88247,SO/24-25/69680,173880,Ruchi Gold Palm Pouch(1L),1,1,1360,1270,1360,90,-40
74122,SO/24-25/55670,148574,Soyum Soya (15Lit),1,1,2030,1870,2030,160,-50
71235,SO/24-25/52799,143255,Pani (500 Ml),10,10,200,110,2000,900,-100
70572,SO/24-25/52153,141776,Ruchi Gold Palm Pouch(1L),2,2,138.95,120,277.9,37.9,-13.1
131963,SO/24-25/111157,249602,Prakash Aata,1,1,1620,1590,1620,30,-30
104582,SO/24-25/85351,202949,Double Chabhi Rice,2,2,3320,2865,6640,910,-30
74124,SO/24-25/55667,148576,Soyum Soya (15Lit),1,1,2030,1870,2030,160,-50
83239,SO/24-25/64675,164931,Ruchi Gold Palm Pouch(1L),1,1,1368,1280,1368,88,5
117755,SO/24-25/97745,225198,Rajdhani Motichur Besan,1,1,3395,2790,3395,605,-35
70571,SO/24-25/52143,141775,Ambey Patent Maida,3,3,1909,1795,5727,342,135
83237,SO/24-25/64674,164927,Single Filter Sugar,1,1,2210,2095,2210,115,5
126245,SO/24-25/105722,239633,Shreshtha Aata,1,1,1860,1620,1860,240,-20
78698,SO/24-25/60162,156648,Normal Sugar,1,1,2260,2100,2260,160,0
89407,SO/24-25/70788,176036,Prakash Maida,2,2,1768,1690,3536,156,0
84548,SO/24-25/65956,167294,Prakash Aata,10,10,1693,1550,16930,1430,-400
84548,SO/24-25/65956,167295,Prakash Maida,5,5,1768,1650,8840,590,-100
78698,SO/24-25/60162,156649,Soyum Soya Pouch,2,2,1600,1524,3200,152,-24
131948,SO/24-25/111149,249576,Prakash Maida,2,2,1800,1700,3600,200,-40
